,Data,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmin,tmed,tmax,prec,irrigacao,ano,mes
1992-03-05,,3.7536922096217724,0,4.3575316368539365,0.9,2.4639833003738034,20.0,0,0.04171989551707611,19.992490418806927,0.937713631905456,3.3783229886595953,3.238981836504886,3.3783229886595953,1.2452596173524526,15.508248964949589,15.515758546142662,15.515758546142662,3.238981836504886,95.87543427249402,4,19.189077737353955,24.42756450180109,29.665651163846583,4.3575316368539365,0,1992,3
1992-03-06,,3.7292002918686036,0,2.7287517576029963,0.88,2.3813101602404814,20.0,0,0.03754790596536495,19.993241376926235,0.9121958434273538,3.2816962568443713,3.135034900127865,3.2816962568443713,1.7554896962543403,15.10271678054403,15.109475403617791,15.109475403617791,3.135034900127865,95.53092836027628,4,19.05236310949416,24.637102580072042,30.221826046553865,2.7287517576029963,0,1992,3
1992-03-07,,3.7047083741154347,0,3.573263986533499,0.8600000000000001,2.4224935374538417,20.0,0,0.03379311536882312,19.99391723923361,0.9341169319604927,3.1860492017392743,3.0567100396801976,3.1860492017392743,1.3172606098487059,15.619946589704707,15.626029350471093,15.626029350471093,3.0567100396801976,95.94045308564381,4,19.44209452437977,24.74548410320288,30.04887304186215,3.573263986533499,0,1992,3
1992-03-08,,3.680216456362266,0,5.533514665918528,0.8400000000000001,2.576151519453586,20.0,1.1595440163896207,0.030413803831947916,19.99452551531025,1.0,3.0913818233443036,3.0063863615244286,3.0913818233443036,0.0,16.988139153785824,16.993613638475573,16.993613638475573,3.0063863615244286,97.25056732953404,4,19.29768378097519,24.689819364128116,30.081954921674487,5.533514665918528,0,1992,3
1992-03-09,,3.6557245386090975,0,5.7557508147732515,0.8200000000000001,2.559007177026368,20.0,2.7493644532488233,0.02737242344874602,19.995072963779226,1.0,2.9976941216594604,2.917800764357514,2.9976941216594604,0.0,17.077272199421714,17.082199235642484,17.082199235642484,2.917800764357514,97.33483957803809,4,19.404707351239008,24.606392774565123,29.808078196866976,5.7557508147732515,0,1992,3
1992-03-10,,3.631232620855929,0,8.336430600820737,0.8,2.5418628345991503,20.0,5.4186298364632215,0.024635181103871417,19.9955656674013,1.0,2.9049860966847434,2.830063873227609,2.9049860966847434,0.0,17.165501794173693,17.16993612677239,17.16993612677239,2.830063873227609,97.42090939634313,4,20.188588294049563,25.129055710982602,30.069523127874678,8.336430600820737,0,1992,3
1992-03-11,,3.6067407031027607,0,3.8264683667122634,0.78,2.5247184921719326,20.0,0.9964044934846541,0.022171662993493158,19.996009100661173,1.0,2.8132577484201535,2.7431742484850306,2.8132577484201535,0.0,17.252834852176143,17.25682575151497,17.25682575151497,2.7431742484850306,97.50881340415822,4,19.695143531761982,24.7775622284393,29.859980925114982,3.8264683667122634,0,1992,3
1992-03-12,,3.6274608499669974,0,6.650914909261792,0.76,2.539222594976898,20.0,3.9077406607767635,0.019954496694136736,19.996408190595055,1.0,2.756870245974918,2.686137949896698,2.756870245974918,0.0,17.310270240698358,17.313862050103303,17.313862050103303,2.686137949896698,97.4343262552349,4,19.49780574127048,24.45590248913757,29.4135992370046,6.650914909261792,0,1992,3
1992-03-13,,3.648180996831235,0,3.9311619394034327,0.74,2.5537266977818645,20.0,1.245023989506734,0.01795904702472484,19.99676737153555,1.0,2.6996539376551136,2.628414280226056,2.6996539376551136,0.0,17.368353091309494,17.371585719773943,17.371585719773943,2.628414280226056,97.36115594538256,4,19.42991222965082,24.257436099565503,29.084943969480186,3.9311619394034327,0,1992,3
1992-03-14,,3.6689011436954715,0,6.3367312188557445,0.72,2.56823080058683,20.0,3.708316938629686,0.01616314232224525,19.997090634381998,1.0,2.6416088234607393,2.5700022090943384,2.6416088234607393,0.0,17.42708842528766,17.429997790905663,17.429997790905663,2.5700022090943384,97.28928016402557,4,19.005596489186033,24.06989744398262,29.133797758779206,6.3367312188557445,0,1992,3
1992-03-15,,3.689621290559709,0,9.570373956603095,0.7,2.5827349033917963,20.0,7.000371747508758,0.014546828090011843,19.997381570943798,1.0,2.5827349033917963,2.5827349033917963,2.5827349033917963,0.0,17.414646667552002,17.417265096608205,17.417265096608205,2.510900706122775,100.00000000000001,4,19.52022385956744,24.382795897759305,29.245351910351168,9.570373956603095,0,1992,3
1992-03-16,,3.7103414374239456,0,6.276687442033504,0.68,2.597239006196762,20.0,3.6939525386417102,0.013092145281010659,19.997643413849417,1.0,2.5230321774482833,2.597239006196762,2.597239006196762,0.0,17.400404407652655,17.402760993803238,17.402760993803238,2.4511087409326016,99.99999999999999,4,19.300808954382696,24.23531183591037,29.169814076414045,6.276687442033504,0,1992,3
1992-03-17,,3.7310615842881822,0,5.193704857890751,0.66,2.6117431090017273,20.0,2.5964658516939885,0.011782930752914922,19.997879072464475,1.0,2.4625006456302003,2.6117431090017273,2.6117431090017273,0.0,17.38613596346275,17.38825689099827,17.38825689099827,2.390625283145052,99.99999999999999,4,18.910432358175306,23.743412473436415,28.575992563056563,5.193704857890751,0,1992,3
