mes,prec,ETP,P - ETP,ARM,Neg,Alt,Etr,Def,Exc
1,282.26409090909084,115.79691608120731,166.46717482788353,100.0,0.0,14.938626488794597,115.79691608120731,0.0,151.52854833908893
2,154.95925061108278,116.1813089136045,38.77794169747828,100.0,0.0,0.0,116.1813089136045,0.0,38.77794169747828
3,139.0191340881898,123.11545552319629,15.903678564993498,100.0,0.0,0.0,123.11545552319629,0.0,15.903678564993498
4,80.39085598335258,98.63047115529714,-18.239615171944564,83.32711732138677,-18.239615171944564,-16.672882678613234,97.06373866196581,1.5667324933313296,0.0
5,67.97061408203676,64.73180365894986,3.2388104230869033,86.56592774447367,-14.426389189831873,3.2388104230869033,64.73180365894986,0.0,0.0
6,70.96820468805268,54.6979604377145,16.27024425033818,100.0,0.0,13.434072255526331,54.6979604377145,0.0,2.836171994811849
7,45.067374258114235,56.67810454626232,-11.610730288148083,89.03796778663671,-11.610730288148083,-10.962032213363287,56.02940647147752,0.6486980747847966,0.0
8,25.21271502794757,73.60562395479687,-48.3929089268493,54.87916640220738,-60.003639214997385,-34.15880138442933,59.371516412376906,14.234107542419963,0.0
9,89.31200808853465,89.0682757659887,0.24373232254595223,55.122898724753334,-59.56049713194265,0.24373232254595223,89.0682757659887,0.0,0.0
10,111.25419901355328,113.5502625903399,-2.296063576786622,53.871661495386114,-61.85656070872927,-1.25123722936722,112.5054362429205,1.0448263474194022,0.0
11,126.42213164892954,117.296199824972,9.12593182395753,62.99759331934364,-46.20736616065057,9.12593182395753,117.296199824972,0.0,0.0
12,107.70502569934465,85.64124550748289,22.063780191861753,85.0613735112054,-16.179714873589216,22.06378019186176,85.64124550748289,0.0,0.0
