,Data,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmin,tmed,tmax,prec,irrigacao,ano,mes
1990-12-21,,3.9475415280406927,0,10.57294117647059,0.4,1.4607993528677172,10.57294117647059,0,0,0,0,0,1.4607993528677172,2.7632790696284846,2.7632790696284846,0,9.112141823602872,9.112141823602872,0,52.86470588235295,1,18.353846153846153,23.446153846153848,28.538461538461533,10.57294117647059,0,1990,12
1990-12-22,,3.9120109719571765,0,8.176470588235293,0.4181818181818182,2.3671634505759074,17.288612411838166,0,86.44306205919084,1.7288612411838167,1.0,1.635931861000274,2.3671634505759074,2.7384076803700235,0.0,0,14.921448961262259,14.921448961262259,1.5792570614014294,86.44306205919082,1,18.492307692307694,23.38076923076923,28.269230769230774,8.176470588235293,0,1990,12
1990-12-23,,3.8764804158736594,0,15.099411764705883,0.4363636363636364,2.7135362911115615,20.0,10.020860725968141,91.3556937940809,3.555975117065435,1.0,1.6915550905630514,2.7135362911115615,2.7135362911115615,0.0,0.8424388259538733,17.286463708888437,17.286463708888437,1.6346523488310973,99.99999999999999,1,17.965384615384615,22.2673076923077,26.569230769230778,15.099411764705883,0,1990,12
1990-12-24,,3.8409498597901433,0,4.392352941176471,0.4545454545454546,2.6886649018531,20.0,1.6788166500649098,82.22012441467282,5.2003776053588915,1.0,1.7458862999046108,2.6886649018531,2.6886649018531,0.0,2.5117127035057916,17.3113350981469,17.3113350981469,1.6889649174370625,100.0,1,17.92307692307692,22.298076923076927,26.673076923076923,4.392352941176471,0,1990,12
1990-12-25,,3.805419303706627,0,13.45,0.4727272727272727,2.663793512594639,20.0,10.761335098146898,73.99811197320554,6.680339844823003,1.0,1.7989254890249509,2.663793512594639,2.663793512594639,0.0,4.016546332228364,17.336206487405363,17.336206487405363,1.742197521591137,100.0,1,17.765384615384615,22.565384615384612,27.365384615384617,13.45,0,1990,12
1990-12-26,,3.76988874762311,0,12.03941176470588,0.4909090909090909,2.638922123336177,20.0,9.375618252111245,66.598300775885,8.012305860340703,1.0,1.8506726579240722,2.638922123336177,2.638922123336177,0.0,5.373383737004526,17.361077876663824,17.361077876663824,1.7943529156651379,100.0,1,18.04615384615385,22.75576923076923,27.46538461538461,12.03941176470588,0,1990,12
1990-12-27,,3.734358191539594,0,3.7947058823529414,0.509090909090909,2.6140507340777157,20.0,1.1557837590167637,59.938470698296484,9.211075274306634,1.0,1.9011278066019748,2.6140507340777157,2.6140507340777157,0.0,6.597024540228918,17.385949265922285,17.385949265922285,1.8454338540308812,100.0,1,18.13076923076923,22.819230769230767,27.50769230769231,3.7947058823529414,0,1990,12
1990-12-28,,3.6988276354560767,0,5.979999999999999,0.5272727272727272,2.5891793448192537,20.0,3.365949265922282,53.94462362846683,10.28996774687597,1.0,1.9502909350586584,2.5891793448192537,2.5891793448192537,0.0,7.700788402056716,17.410820655180746,17.410820655180746,1.8954430910601834,100.0,1,18.17307692307692,22.85961538461538,27.546153846153842,5.979999999999999,0,1990,12
1990-12-29,,3.6632970793725605,0,6.38,0.5454545454545454,2.564307955560792,20.0,3.7908206551807453,48.550161265620154,11.260970972188373,1.0,1.9981620432941238,2.564307955560792,2.564307955560792,0.0,8.69666301662758,17.435692044439207,17.435692044439207,1.9443833811248605,100.0,1,17.846153846153847,22.567307692307693,27.28846153846154,6.38,0,1990,12
1990-12-30,,3.6277665232890444,0,4.7694117647058825,0.5636363636363636,2.539436566302331,20.0,2.20510380914509,43.69514513905814,12.134873874969536,1.0,2.0447411313083705,2.539436566302331,2.539436566302331,0.0,9.595437308667204,17.46056343369767,17.46056343369767,1.9922574785967293,100.0,1,18.31923076923077,23.21923076923077,28.119230769230764,4.7694117647058825,0,1990,12
