mes,prec,ETP,P - ETP,ARM,Neg,Alt,Etr,Def,Exc
1,252.62797385620917,79.17293726177206,173.4550365944371,100.0,0.0,0.0,79.17293726177206,0.0,173.4550365944371
2,204.79500000000002,78.11651674816291,126.67848325183711,100.0,0.0,0.0,78.11651674816291,0.0,126.67848325183711
3,194.43258169934643,66.7912170385652,127.64136466078124,100.0,0.0,0.0,66.7912170385652,0.0,127.64136466078124
4,84.64166666666668,52.78631363406856,31.855353032598117,100.0,0.0,0.0,52.78631363406856,0.0,31.855353032598117
5,66.35277777777776,39.7764221878872,26.57635558989056,100.0,0.0,0.0,39.7764221878872,0.0,26.57635558989056
6,43.945555555555565,33.82587564462451,10.119679910931055,100.0,0.0,0.0,33.82587564462451,0.0,10.119679910931055
7,49.29666666666667,34.48617243871913,14.810494227947537,100.0,0.0,0.0,34.48617243871913,0.0,14.810494227947537
8,34.12111111111112,42.448521383032904,-8.327410271921785,92.00989110389273,-8.327410271921785,-7.990108896107273,42.11122000721839,0.33730137581451203,0.0
9,74.08967320261439,51.86580057759751,22.22387262501688,100.0,0.0,7.990108896107273,51.86580057759751,0.0,14.233763728909608
10,140.23882352941177,63.6981343964375,76.54068913297428,100.0,0.0,0.0,63.6981343964375,0.0,76.54068913297428
11,189.46647058823532,65.3078426950404,124.15862789319492,100.0,0.0,0.0,65.3078426950404,0.0,124.15862789319492
12,121.28676470588238,51.13118797827519,70.15557672760718,100.0,0.0,0.0,51.13118797827519,0.0,70.15557672760718
