,Data,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmin,tmed,tmax,prec,irrigacao,ano,mes
2013-12-21,,1.88972888849975,0,0.0,0.4,0.0,0,0,0,0,0,0,0.0,1.322810221949825,1.322810221949825,0,0.0,0.0,0,0.0,1,14.0,17.333333333333332,20.666666666666668,0.0,0,2013,12
2013-12-22,,1.8779644434267477,0,2.84,0.4181818181818182,0.18666966567661872,2.84,0,14.2,0.284,1.0,0.7853305854330036,0.284,0.7853305854330036,0.0,0.0,2.556,2.556,0.8853369590277673,36.16311465106283,1,14.666666666666666,17.833333333333332,21.0,2.84,0,2013,12
2013-12-23,,1.8661999983537456,0,10.14,0.4363636363636364,0.8292646312684704,12.696000000000002,0,62.06,1.5252000000000001,1.0,0.8143418174634527,0.8143418174634527,0.8143418174634527,0.0,0.7108581825365474,11.88165818253655,11.88165818253655,0.9198519480107913,100.0,1,14.666666666666666,18.0,21.333333333333332,10.14,0,2013,12
2013-12-24,,1.854435553280743,0,8.590000000000002,0.4545454545454546,1.29810488729652,20,0.4716581825365509,92.374,3.37268,1.0,0.8429252514912469,1.29810488729652,1.29810488729652,0.0,2.0745751127034797,18.70189511270348,18.70189511270348,0.9540379598736141,100.00000000000001,1,14.0,17.666666666666668,21.333333333333332,8.590000000000002,0,2013,12
2013-12-25,,1.8426711082077407,0,0.0,0.4727272727272727,1.2061504627518587,20,0,83.13660000000002,5.035412,0.7422048310453008,0.8710808875163865,1.2061504627518587,1.2898697757454185,1.2981048872965202,2.531156649951621,17.49574464995162,17.49574464995162,0.9681880214095389,93.50947556351738,1,14.333333333333334,18.333333333333332,22.333333333333332,0.0,0,2013,12
2013-12-26,,1.8309066631347384,0,7.63,0.4909090909090909,1.2816346641943168,20,5.125744649951621,74.82293999999999,6.5318708,1.0,0.8988087255388716,1.2816346641943168,1.2816346641943168,0.0,5.250236135805683,18.718365335805682,18.718365335805682,1.021424260112119,99.99999999999999,1,14.333333333333334,18.333333333333332,22.333333333333332,7.63,0,2013,12
2013-12-27,,1.8191422180617363,0,0.0,0.509090909090909,1.1917979022413614,20,0,67.340646,7.87868372,0.8373288343913473,0.926108765558702,1.1917979022413614,1.2733995526432154,1.281634664194316,5.405251153564322,17.52656743356432,17.52656743356432,1.0220647285851823,93.59182667902843,1,14.333333333333334,18.166666666666668,22.0,0.0,0,2013,12
2013-12-28,,1.807377772988734,0,1.8,0.5272727272727272,1.2225642942657227,20,0,60.6065814,9.090815348,0.9259216538169116,0.9529810075758778,1.2225642942657227,1.2651644410921137,0.6734325664356771,7.194818487298599,18.104003139298598,18.104003139298598,1.0604925789260333,96.63283716782162,1,14.0,17.5,21.0,1.8,0,2013,12
2013-12-29,,1.7956133279157318,0,3.08,0.5454545454545454,1.2569293295410122,20,1.1840031392985964,54.54592326000001,10.1817338132,1.0,0.9794254515903991,1.2569293295410122,1.2569293295410122,0.0,8.924804483658987,18.743070670458987,18.743070670458987,1.120043931277517,100.0,1,14.0,16.666666666666668,19.333333333333332,3.08,0,2013,12
2013-12-30,,1.783848882842729,0,2.12,0.5636363636363636,1.2486942179899103,20,0.8630706704589883,49.091330934,11.163560431879999,1.0,1.0054420976022653,1.2486942179899103,1.2486942179899103,0.0,9.914866213890088,18.75130578201009,18.75130578201009,1.15226242175482,100.0,1,14.666666666666666,17.666666666666668,20.666666666666668,2.12,0,2013,12
