,Data,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmin,tmed,tmax,prec,irrigacao,ano,mes
2003-12-21,,4.239634832015494,0,11.338461538461543,0.4,1.6824827767975339,11.338461538461543,0,0,0,0,0,1.6824827767975339,2.967744382410846,2.967744382410846,0,9.65597876166401,9.65597876166401,0,56.69230769230771,1,19.0,24.299999999999997,29.6,11.338461538461543,0,2003,12
2003-12-22,,4.196224794961074,0,9.923076923076923,0.4181818181818182,2.875534162418171,19.579055684740933,0,97.89527842370467,1.9579055684740934,1.0,1.7547849142564491,2.875534162418171,2.9373573564727513,0.0,0,16.703521522322763,16.703521522322763,1.6817279702291343,97.89527842370467,1,18.75076923076923,23.983846153846155,29.216923076923077,9.923076923076923,0,2003,12
2003-12-23,,4.152814757906652,0,11.37230769230769,0.4363636363636364,2.9069703305346564,20.0,8.075829214630453,90.21047215762954,3.762115011626684,1.0,1.8121373489047212,2.9069703305346564,2.9069703305346564,0.0,0.8551446810920278,17.093029669465345,17.093029669465345,1.7384237405691927,100.0,1,19.052307692307693,23.882307692307695,28.712307692307693,11.37230769230769,0,2003,12
2003-12-24,,4.109404720852231,0,6.31923076923077,0.4545454545454546,2.8765833045965614,20.0,3.4122604386961157,81.18942494186658,5.385903510464016,1.0,1.8679112367510142,2.8765833045965614,2.8765833045965614,0.0,2.5093202058674544,17.12341669540344,17.12341669540344,1.7937852035417323,100.0,1,19.176923076923078,24.253846153846155,29.33,6.31923076923077,0,2003,12
2003-12-25,,4.06599468379781,0,8.211538461538462,0.4727272727272727,2.846196278658467,20.0,5.334955156941902,73.07048244767992,6.847313159417615,1.0,1.9221065777953283,2.846196278658467,2.846196278658467,0.0,4.001116880759148,17.153803721341532,17.153803721341532,1.8478164706332638,99.99999999999999,1,19.683846153846154,24.824615384615388,29.964615384615385,8.211538461538462,0,2003,12
2003-12-26,,4.02258464674339,0,17.78923076923077,0.4909090909090909,2.8158092527203724,20.0,14.943034490572302,65.76343420291192,8.162581843475854,1.0,1.974723372037664,2.8158092527203724,2.8158092527203724,0.0,5.3467725907554815,17.18419074727963,17.18419074727963,1.9005216533302978,100.0,1,19.83076923076923,24.661538461538463,29.49230769230769,17.78923076923077,0,2003,12
2003-12-27,,3.979174609688968,0,4.859230769230769,0.509090909090909,2.7854222267822775,20.0,2.0434215165103993,59.18709078262073,9.346323659128268,1.0,2.02576161947802,2.7854222267822775,2.7854222267822775,0.0,6.560901432345991,17.214577773217723,17.214577773217723,1.9519048631193456,100.0,1,19.556153846153844,24.206153846153846,28.856153846153845,4.859230769230769,0,2003,12
2003-12-28,,3.9357645726345476,0,8.484615384615383,0.5272727272727272,2.755035200844183,20.0,5.699193157833108,53.26838170435866,10.41169129321544,1.0,2.075221320116398,2.755035200844183,2.755035200844183,0.0,7.656656092371257,17.244964799155817,17.244964799155817,2.001970211486914,100.0,1,18.824615384615385,23.931538461538462,29.03846153846154,8.484615384615383,0,2003,12
2003-12-29,,3.8923545355801266,0,6.4799999999999995,0.5454545454545454,2.7246481749060885,20.0,3.724964799155817,47.9415435339228,11.370522163893897,1.0,2.123102473952796,2.7246481749060885,2.7246481749060885,0.0,8.645873988987809,17.27535182509391,17.27535182509391,2.050721809919513,99.99999999999999,1,18.74153846153846,23.13,27.51846153846154,6.4799999999999995,0,2003,12
2003-12-30,,3.848944498525706,0,6.846153846153846,0.5636363636363636,2.694261148967994,20.0,4.121505671247757,43.14738918053051,12.233469947504506,1.0,2.169405080987216,2.694261148967994,2.694261148967994,0.0,9.539208798536512,17.305738851032007,17.305738851032007,2.098163769903656,100.0,1,19.159230769230767,24.38,29.6,6.846153846153846,0,2003,12
