mes,prec,ETP,P - ETP,ARM,Neg,Alt,Etr,Def,Exc
1,425.1933333333333,141.5424887231854,283.65084461014794,,,,141.5424887231854,0.0,0
2,339.3833333333334,128.93401721917286,210.44931611416052,,,,128.93401721917286,0.0,0
3,234.7733333333333,137.44938616353906,97.32394716979425,,,,137.44938616353906,0.0,0
4,143.4525,,,,,,,,0
5,89.97749999999999,,,,,,,,0
6,49.74250000000001,,,,,,,,0
7,15.154999999999998,116.08794058902436,-100.93294058902435,,,,,,0
8,55.30500000000001,125.82525882577585,-70.52025882577584,,,,,,0
9,99.63,140.76939839560947,-41.139398395609476,,,,,,0
10,166.3575,,,,,,,,0
11,249.23250000000002,142.5609363365545,106.67156366344551,,,,142.5609363365545,0.0,0
12,199.39249999999998,,,,,,,,0
