mes,prec,ETP,P - ETP,ARM,Neg,Alt,Etr,Def,Exc
1,290.0066666666667,148.4871508527471,141.5195158139196,100.0,0.0,0.0,148.4871508527471,0.0,141.5195158139196
2,262.17,133.5079020582903,128.6620979417097,100.0,0.0,0.0,133.5079020582903,0.0,128.6620979417097
3,267.1466666666667,143.32973252296657,123.81693414370014,100.0,0.0,0.0,143.32973252296657,0.0,123.81693414370014
4,186.45333333333332,132.71567811222815,53.73765522110517,100.0,0.0,0.0,132.71567811222815,0.0,53.73765522110517
5,99.17333333333333,113.27026332579621,-14.096929992462876,86.85159747942735,-14.096929992462876,-13.148402520572645,112.32173585390598,0.9485274718902303,0.0
6,80.24800000000002,97.67658635478615,-17.428586354786134,72.96026825613852,-31.52551634724901,-13.891329223288835,94.13932922328885,3.5372571314972987,0.0
7,51.50000000000001,94.97394674866588,-43.473946748665874,47.23690889031415,-74.99946309591488,-25.723359365824372,77.22335936582438,17.750587382841502,0.0
8,74.16666666666667,121.30157717361529,-47.134910506948614,29.483372193034178,-122.13437360286349,-17.75353669727997,91.92020336394664,29.381373809668645,0.0
9,91.03266666666666,139.06619291991979,-48.03352625325313,18.237705603038105,-170.1678998561166,-11.245666589996073,102.27833325666273,36.78785966325705,0.0
10,147.6233333333333,162.14044737381303,-14.517114040479726,15.77332223805992,-184.68501389659633,-2.4643833649781843,150.08771669831148,12.05273067550155,0.0
11,219.28333333333333,153.06033475563603,66.2229985776973,81.99632081575722,-19.849580783096332,66.2229985776973,153.06033475563603,0.0,0.0
12,257.096,150.3778554523636,106.7181445476364,100.0,0.0,18.003679184242785,150.3778554523636,0.0,88.71446536339361
