,ETP,Esc,Apport,Kc,Evs,Hum,Dr,Vrad,StRurMax,Hr,Epc,Etr,Etm,Eps,StRur,StRuSurf,StRu,TP,EtrEtm,fase,tmed,prec,irrigacao,ano,mes
2011-06-21,,0,0.0,0.4,,0,0,0,0,0,0,,,,0,,,0,,1,25.45,0.0,0,2011,6
2011-06-22,,0,0.2,0.42000000000000004,,0,0,0.0,0,0,,,,0.0,,,,,,1,26.25,0.2,0,2011,6
2011-06-23,,0,0.0,0.44,,0,0,0.0,0,0,,,,,,,,,,1,26.3,0.0,0,2011,6
2011-06-24,,0,0.0,0.46,,0,0,0.0,0,0,,,,,,,,,,1,,0.0,0,2011,6
2011-06-25,,0,0.0,0.48,,0,0,0.0,0,0,,,,,,,,,,1,25.85,0.0,0,2011,6
2011-06-26,,0,0.0,0.5,,0,0,0.0,0,0,,,,,,,,,,1,21.9,0.0,0,2011,6
2011-06-27,,0,0.0,0.52,,0,0,0.0,0,0,,,,,,,,,,1,17.3,0.0,0,2011,6
2011-06-28,,0,0.0,0.54,,0,0,0.0,0,0,,,,,,,,,,1,17.4,0.0,0,2011,6
2011-06-29,,0,0.0,0.56,,0,0,0.0,0,0,,,,,,,,,,1,20.1,0.0,0,2011,6
2011-06-30,,0,0.0,0.58,,0,0,0.0,0,0,,,,,,,,,,1,22.35,0.0,0,2011,6
2011-07-01,,0,0.0,0.6,,0,0,0.0,0,0,,,,,,,,,,2,,0.0,0,2011,7
2011-07-02,,0,3.8,0.62,,0,0,0.0,0,0,,,,,,,,,,2,22.75,3.8,0,2011,7
2011-07-03,,0,0.0,0.64,,0,0,0.0,0,0,,,,,,,,,,2,20.9,0.0,0,2011,7
2011-07-04,,0,0.0,0.66,,0,0,0.0,0,0,,,,,,,,,,2,17.8,0.0,0,2011,7
2011-07-05,,0,0.0,0.68,,0,0,0.0,0,0,,,,,,,,,,2,19.8,0.0,0,2011,7
2011-07-06,,0,0.0,0.7000000000000001,,0,0,0.0,0,0,,,,,,,,,,2,21.25,0.0,0,2011,7
2011-07-07,,0,0.0,0.72,,0,0,0.0,0,0,,,,,,,,,,2,22.5,0.0,0,2011,7
2011-07-08,,0,0.0,0.74,,0,0,0.0,0,0,,,,,,,,,,2,,0.0,0,2011,7
2011-07-09,,0,0.0,0.76,,0,0,0.0,0,0,,,,,,,,,,2,23.6,0.0,0,2011,7
2011-07-10,,0,0.0,0.78,,0,0,0.0,0,0,,,,,,,,,,2,25.35,0.0,0,2011,7
2011-07-11,,0,0.0,0.8,,0,0,0.0,0,0,,,,,,,,,,2,25.75,0.0,0,2011,7
2011-07-12,,0,0.0,0.8200000000000001,,0,0,0.0,0,0,,,,,,,,,,2,25.8,0.0,0,2011,7
2011-07-13,,0,0.0,0.8400000000000001,,0,0,0.0,0,0,,,,,,,,,,2,26.1,0.0,0,2011,7
2011-07-14,,0,0.0,0.86,,0,0,0.0,0,0,,,,,,,,,,2,25.7,0.0,0,2011,7
2011-07-15,,0,0.0,0.88,,0,0,0.0,0,0,,,,,,,,,,2,,0.0,0,2011,7
2011-07-16,,0,0.0,0.9,,0,0,0.0,0,0,,,,,,,,,,2,26.0,0.0,0,2011,7
2011-07-17,,0,0.0,0.92,,0,0,0.0,0,0,,,,,,,,,,2,26.1,0.0,0,2011,7
2011-07-18,,0,0.0,0.94,,0,0,0.0,0,0,,,,,,,,,,2,26.45,0.0,0,2011,7
2011-07-19,,0,0.0,0.96,,0,0,0.0,0,0,,,,,,,,,,2,25.8,0.0,0,2011,7
2011-07-20,,0,0.2,0.98,,0,0,0.0,0,0,,,,,,,,,,2,25.8,0.2,0,2011,7
2011-07-21,,0,0.0,1.0,,0,0,0.0,0,0,,,,,,,,,,2,26.0,0.0,0,2011,7
2011-07-22,,0,0.0,1.018181818181818,,0,0,0.0,0,0,,,,,,,,,,2,,0.0,0,2011,7
2011-07-23,,0,0.0,1.0363636363636364,,0,0,0.0,0,0,,,,,,,,,,2,23.35,0.0,0,2011,7
2011-07-24,,0,0.0,1.0545454545454545,,0,0,0.0,0,0,,,,,,,,,,2,23.9,0.0,0,2011,7
2011-07-25,,0,0.0,1.0727272727272728,,0,0,0.0,0,0,,,,,,,,,,2,24.45,0.0,0,2011,7
2011-07-26,,0,0.0,1.0909090909090908,,0,0,0.0,0,0,,,,,,,,,,2,24.85,0.0,0,2011,7
2011-07-27,,0,0.0,1.1090909090909091,,0,0,0.0,0,0,,,,,,,,,,2,25.6,0.0,0,2011,7
2011-07-28,,0,0.0,1.1272727272727272,,0,0,0.0,0,0,,,,,,,,,,2,25.25,0.0,0,2011,7
2011-07-29,,0,0.0,1.1454545454545455,,0,0,0.0,0,0,,,,,,,,,,2,,0.0,0,2011,7
2011-07-30,,0,0.0,1.1636363636363636,,0,0,0.0,0,0,,,,,,,,,,2,26.45,0.0,0,2011,7
2011-07-31,,0,0.0,1.2,,0,0,0.0,0,0,,,,,,,,,,2,26.5,0.0,0,2011,7
2011-08-01,,0,4.0,1.2,,0,0,0.0,0,0,,,,,,,,,,2,27.2,4.0,0,2011,8
2011-08-02,,0,1.6,1.2,,0,0,0.0,0,0,,,,,,,,,,2,21.25,1.6,0,2011,8
2011-08-03,,0,0.0,1.2,,0,0,0.0,0,0,,,,,,,,,,2,17.85,0.0,0,2011,8
2011-08-04,,0,0.0,1.2,,0,0,0.0,0,0,,,,,,,,,,2,18.65,0.0,0,2011,8
2011-08-05,,0,0.0,1.2,,0,0,0.0,0,0,,,,,,,,,,3,,0.0,0,2011,8
2011-08-06,,0,0.0,1.2,,0,0,0.0,0,0,,,,,,,,,,3,24.15,0.0,0,2011,8
2011-08-07,,0,0.0,1.2,,0,0,0.0,0,0,,,,,,,,,,3,25.85,0.0,0,2011,8
2011-08-08,,0,0.0,1.2,,0,0,0.0,0,0,,,,,,,,,,3,27.1,0.0,0,2011,8
