mes,prec,ETP,P - ETP,ARM,Neg,Alt,Etr,Def,Exc
1,364.19666666666666,142.8206968761552,221.37596979051145,,,,142.8206968761552,0.0,0
2,262.7233333333333,130.56058891282677,132.16274442050653,,,,130.56058891282677,0.0,0
3,349.19,141.5719581046723,207.6180418953277,,,,141.5719581046723,0.0,0
4,114.3875,,,,,,,,0
5,85.99999999999999,134.14081029974372,-48.140810299743734,,,,,,0
6,66.6225,,,,,,,,0
7,30.2325,,,,,,,,0
8,36.4025,,,,,,,,0
9,92.9525,,,,,,,,0
10,123.35499999999999,,,,,,,,0
11,294.71999999999997,142.6947270196722,152.02527298032777,,,,142.6947270196722,0.0,0
12,310.1925,,,,,,,,0
