mes,prec,ETP,P - ETP,ARM,Neg,Alt,Etr,Def,Exc
1,271.708125,136.9133917714119,134.7947332285881,,,,136.9133917714119,0.0,0
2,252.149375,124.22816136692094,127.92121363307905,,,,124.22816136692094,0.0,0
3,249.39937499999996,,,,,,,,0
4,181.38249999999994,,,,,,,,0
5,94.915,,,,,,,,0
6,68.610625,,,,,,,,0
7,39.550000000000004,,,,,,,,0
8,70.8625,,,,,,,,0
9,82.67937499999998,,,,,,,,0
10,131.35666666666668,,,,,,,,0
11,211.48666666666668,134.1645644487892,77.32210221787747,,,,134.1645644487892,0.0,0
12,115.171875,93.06307680421835,22.108798195781645,,,,93.06307680421835,0.0,0
