mes,prec,ETP,P - ETP,ARM,Neg,Alt,Etr,Def,Exc
1,242.37875,132.7231053375267,109.65564466247329,,,,132.7231053375267,0.0,0
2,231.59874999999994,119.564764597336,112.03398540266394,,,,119.564764597336,0.0,0
3,281.16125000000005,,,,,,,,0
4,211.6825,121.49085760788529,90.19164239211472,,,,121.49085760788529,0.0,0
5,157.27687500000002,,,,,,,,0
6,89.52250000000001,,,,,,,,0
7,56.499375,,,,,,,,0
8,75.036875,123.64391161884427,-48.607036618844276,,,,,,0
9,104.30891666666668,125.50893328563117,-21.200016618964497,,,,,,0
10,163.06733333333335,,,,,,,,0
11,200.7226666666667,,,,,,,,0
12,122.63475,89.8189773100911,32.8157726899089,,,,89.8189773100911,0.0,0
