;Tempo;Num de;NDA;T;P;N;ETP;P-ETP;NEG-AC;ARM;ALT;ETR;DEF;EXC;    ARMx100;;Latitude   =;-23.4256;;;;;;;;Gr†fico;;;;;;;;;;;;;;;gr†fico;P;ETP;ETR;;;;;;;;;;;;Gr†fico;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.0;;;;;;             Controle l¢gico;;;;;;;;;;;;co1;vlr; ;ARM;;;;;;;SP-ETP;SP-ETP;;;;;;;;;;
;DEC“NDIOS;Dias;;oC;mm;horas;Thornthwaite1948;mm;;mm;mm;mm;mm;mm;CAD;;d;hn;N;;;;;;;DEC“NDIOS;DEF(-1);EXC;;;;;;;;;;;;;Tempo;mm;Thornthwaite 1948;mm;;;;;;;;;;;;Tempo;CAD;ARM;;;;;;;;;;(mm);EXC;DEF;RET;REP;;;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;ini;;Logico;;;;;;;ncom;com;;;;;;;;;;
;J1;10;1;22.1985;5.6528;13.4;33.02;-27.4;-27.4;76.06;-23.94;29.6;3.4;0.0;76.1;;-23.01;100.60;13.41;;;;;;;J1;-3.4;0.0;;;;;;;;;;;;;J1;5.65;33.02;29.59;;;;;;;;;;;;J1;100.0;76.1;;;;;;;;;;J1;0.0;-3.4;-23.9;0.0;;;;;;;;;;;;;;1;;1.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;-27;1;76;;;;;;;0.0;0.0;1;;;;;;;;;
;J2;10;11;22.244;5.6341;13.3;32.99;-27.4;-54.7;57.86;-18.21;23.8;9.2;0.0;57.9;;-21.90;100.03;13.34;;;;;;;J2;-9.2;0.0;;;;;;;;;;;;;J2;5.63;32.99;23.84;;;;;;;;;;;;J2;100.0;57.9;;;;;;;;;;J2;0.0;-9.2;-18.2;0.0;;;;;;;;;;;;;;1;;2.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;58;;;;;;;0.0;0.0;1;;;;;;;;;
;J3;10;21;22.2155;5.7188;13.2;32.60;-26.9;-81.6;44.22;-13.64;19.4;13.2;0.0;44.2;;-20.14;99.14;13.22;;;;;;;J3;-13.2;0.0;;;;;;;;;;;;;J3;5.72;32.60;19.35;;;;;;;;;;;;J3;100.0;44.2;;;;;;;;;;J3;0.0;-13.2;-13.6;0.0;;;;;;;;;;;;;;1;;3.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;44;;;;;;;0.0;0.0;1;;;;;;;;;
;F1;10;31;22.17;5.7696;13.1;32.06;-26.3;-107.9;34.00;-10.22;16.0;16.1;0.0;34.0;;-17.78;97.99;13.07;;;;;;;F1;-16.1;0.0;;;;;;;;;;;;;F1;5.77;32.06;15.99;;;;;;;;;;;;F1;100.0;34.0;;;;;;;;;;F1;0.0;-16.1;-10.2;0.0;;;;;;;;;;;;;;1;;4.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;34;;;;;;;0.0;0.0;1;;;;;;;;;
;F2;10;41;22.1475;6.1513;12.9;31.53;-25.4;-133.3;26.38;-7.62;13.8;17.8;0.0;26.4;;-14.90;96.62;12.88;;;;;;;F2;-17.8;0.0;;;;;;;;;;;;;F2;6.15;31.53;13.77;;;;;;;;;;;;F2;100.0;26.4;;;;;;;;;;F2;0.0;-17.8;-7.6;0.0;;;;;;;;;;;;;;1;;5.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;26;;;;;;;0.0;0.0;1;;;;;;;;;
;F3;10;51;22.0375;6.9636;12.7;30.65;-23.7;-157.0;20.81;-5.56;12.5;18.1;0.0;20.8;;-11.58;95.09;12.68;;;;;;;F3;-18.1;0.0;;;;;;;;;;;;;F3;6.96;30.65;12.53;;;;;;;;;;;;F3;100.0;20.8;;;;;;;;;;F3;0.0;-18.1;-5.6;0.0;;;;;;;;;;;;;;1;;6.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;21;;;;;;;0.0;0.0;1;;;;;;;;;
;M1;10;61;22.0065;6.4862;12.5;30.02;-23.5;-180.5;16.45;-4.36;10.9;19.2;0.0;16.4;;-7.91;93.45;12.46;;;;;;;M1;-19.2;0.0;;;;;;;;;;;;;M1;6.49;30.02;10.85;;;;;;;;;;;;M1;100.0;16.4;;;;;;;;;;M1;0.0;-19.2;-4.4;0.0;;;;;;;;;;;;;;1;;7.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;16;;;;;;;0.0;0.0;1;;;;;;;;;
;M2;10;71;21.927;6.7267;12.2;29.21;-22.5;-203.0;13.14;-3.31;10.0;19.2;0.0;13.1;;-4.02;91.74;12.23;;;;;;;M2;-19.2;0.0;;;;;;;;;;;;;M2;6.73;29.21;10.04;;;;;;;;;;;;M2;100.0;13.1;;;;;;;;;;M2;0.0;-19.2;-3.3;0.0;;;;;;;;;;;;;;1;;8.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;13;;;;;;;0.0;0.0;1;;;;;;;;;
;M3;10;81;21.891;6.0141;12.0;28.54;-22.5;-225.5;10.49;-2.65;8.7;19.9;0.0;10.5;;0.00;90.00;12.00;;;;;;;M3;-19.9;0.0;;;;;;;;;;;;;M3;6.01;28.54;8.66;;;;;;;;;;;;M3;100.0;10.5;;;;;;;;;;M3;0.0;-19.9;-2.6;0.0;;;;;;;;;;;;;;1;;9.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;10;;;;;;;0.0;0.0;1;;;;;;;;;
;A1;10;91;21.9485;5.1654;11.8;28.17;-23.0;-248.5;8.33;-2.16;7.3;20.8;0.0;8.3;;4.02;88.26;11.77;;;;;;;A1;-20.8;0.0;;;;;;;;;;;;;A1;5.17;28.17;7.32;;;;;;;;;;;;A1;100.0;8.3;;;;;;;;;;A1;0.0;-20.8;-2.2;0.0;;;;;;;;;;;;;;1;;10.0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;8;;;;;;;0.0;0.0;1;;;;;;;;;
