,temp dec,prec dec,ETR,ETM,ETP,ISNA
0,20.182222222222226,53.63666666666666,1.9622809589699581,2.1625588869799826,3.089369838542832,90.00141210827154
1,21.099555555555554,87.90666666666668,2.322496288704518,2.327379316044099,3.259525387525403,99.7890273141416
2,20.858222222222224,67.39888888888889,2.707271777066773,2.712314248419027,3.0481181438112874,99.82918275485282
3,20.980194444444443,77.3,3.3624855208656137,3.3804316436307866,3.0988265799016808,99.51247776993476
4,20.697777777777777,47.739999999999995,3.8150586901971457,3.899893559248857,3.249911299374048,97.81876624249335
5,21.45166666666667,36.894444444444446,3.958716599813182,4.170121084309482,3.4751009035912346,94.97933705540986
6,24.207320414360037,63.66913104154831,3.7419844470302976,4.107670185573115,3.6957573339678427,91.48154796946893
7,23.69145225842064,41.158222152488385,2.9672569997894045,3.0326870869140636,3.366292265314532,97.89328794763634
8,22.615693485341616,44.32586149484389,2.3859960187710145,2.4081167028769714,3.2981694356177984,99.10371883014096
9,22.848226729495366,55.188336042784165,2.3061612842123638,2.306611047362665,3.2951586390895207,99.98038233393927
10,20.182222222222226,53.63666666666666,,,,
11,21.099555555555554,87.90666666666668,,,,
12,20.858222222222224,67.39888888888889,,,,
13,20.980194444444443,77.3,,,,
14,20.697777777777777,47.739999999999995,,,,
15,21.45166666666667,36.894444444444446,,,,
16,24.207320414360037,63.66913104154831,,,,
17,23.69145225842064,41.158222152488385,,,,
18,22.615693485341616,44.32586149484389,,,,
19,22.848226729495366,55.188336042784165,,,,
20,22.085256815281713,34.92498408429937,,,,
21,21.436266970519885,28.387654603108622,,,,
22,20.719582438118827,12.461534974421166,,,,
23,19.94997899362651,16.23131275726719,,,,
24,18.09545163353075,15.285032242307922,,,,
25,17.62331862041775,13.75050047735516,,,,
26,17.254075794876865,15.027510417567829,,,,
27,16.5532587242262,26.38599290009199,,,,
28,15.76377557435713,20.475740828707462,,,,
29,16.383761749179275,17.37789043945988,,,,
30,16.254331919114197,5.929758928394922,,,,
31,16.47927150261429,18.71061270914518,,,,
32,16.41126265020803,23.16056744195599,,,,
33,17.085342097406688,7.326697917406039,,,,
34,17.04505036649249,3.479199537788313,,,,
35,17.519750943973854,15.37773923575586,,,,
36,18.457713834728075,11.83428679799171,,,,
37,19.496328867054807,12.565538356291471,,,,
38,20.022870165011767,12.311135944288496,,,,
39,19.35046278938843,25.292028467562137,,,,
40,20.31346071178898,15.443950060194458,,,,
41,20.755425032771623,33.67312098886254,,,,
42,21.444544426091408,27.590678452721907,,,,
43,21.64912905666469,37.10225254900816,,,,
44,21.23636609098793,60.23389984254935,,,,
45,22.446605337872512,79.48283970108619,,,,
46,23.140479711642012,55.283866937133524,,,,
47,0.0,0.0,0.0,0.0,0.0,0.0
