	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	12.99	não	0.0	não	24.92	não	0.0	não	0.0	não	2.48	não
1	1961-01-02	13.77	não	0.0	não	25.45	não	0.0	não	0.0	não	2.4	não
