	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	16.82	não	0.0	não	22.41	não	0.0	não	0.0	não	10.82	não
1	1961-01-02	17.0	não	0.0	não	24.36	não	0.0	não	0.0	não	5.57	não
