	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	14.68	não	0.0	não	23.13	não	0.0	não	0.0	não	6.37	não
1	1961-01-02	15.36	não	0.0	não	24.78	não	0.0	não	0.0	não	1.42	não
