	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	12.79	não	0.0	não	25.34	não	0.0	não	0.0	não	0.0	não
1	1961-01-02	12.96	não	0.0	não	24.84	não	0.0	não	0.0	não	3.54	não
