	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	18.23	não	0.0	não	28.9	não	0.0	não	0.0	não	0.0	não
1	1961-01-02	19.54	não	0.0	não	28.56	não	0.0	não	0.0	não	0.8	não
