	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	15.5	não	0.0	não	22.07	não	0.0	não	0.0	não	13.72	não
1	1961-01-02	16.19	não	0.0	não	24.66	não	0.0	não	0.0	não	4.91	não
