	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	15.05	não	0.0	não	22.74	não	0.0	não	0.0	não	7.78	não
1	1961-01-02	15.41	não	0.0	não	24.46	não	0.0	não	0.0	não	2.71	não
