	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	17.12	não	0.0	não	25.24	não	0.0	não	0.0	não	15.88	não
1	1961-01-02	16.49	não	0.0	não	25.91	não	0.0	não	0.0	não	1.38	não
