	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	10.2	não	0.0	não	20.13	não	0.0	não	0.0	não	0.02	não
1	1961-01-02	10.43	não	0.0	não	21.51	não	0.0	não	0.0	não	0.13	não
