	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	19.07	não	0.0	não	27.62	não	0.0	não	0.0	não	13.52	não
1	1961-01-02	17.9	não	0.0	não	26.91	não	0.0	não	0.0	não	8.88	não
