	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	20.72	não	0.0	não	30.39	não	0.0	não	0.0	não	0.0	não
1	1961-01-02	21.0	não	0.0	não	30.5	não	0.0	não	0.0	não	0.11	não
