	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	14.69	não	0.0	não	24.36	não	0.0	não	0.0	não	7.39	não
1	1961-01-02	14.92	não	0.0	não	25.32	não	0.0	não	0.0	não	0.32	não
