	data	tMin	tMin Estimada	tMed	tMed Estimada	tMax	tMax Estimada	urMin	urMin Estimada	urMax	urMax Estimada	precipitacao	precipitacao Estimada
0	1961-01-01	14.08	não	0.0	não	23.63	não	0.0	não	0.0	não	6.44	não
1	1961-01-02	14.1	não	0.0	não	24.74	não	0.0	não	0.0	não	1.26	não
